2.2595 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
13.1436 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.1440 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021293C4AAC0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021292D4A6A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.1442 	EXP 	window1: mouseVisible = True
13.1442 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.1443 	EXP 	window1: recordFrameIntervals = False
13.1851 	EXP 	window1: recordFrameIntervals = True
13.2982 	EXP 	Screen (0) actual frame rate measured at 345.86Hz
13.2982 	EXP 	window1: recordFrameIntervals = True
16.3367 	EXP 	Sound sound_instruct set volume 1.000
16.3605 	EXP 	Created text_instruct = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_instruct', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
16.3607 	EXP 	Sound sound_start_recording set volume 1.000
16.3607 	EXP 	Sound sound_trial set volume 1.000
16.4217 	EXP 	Created fixation_cross = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fixation_cross', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='norm', win=Window(...), wrapWidth=1)
16.4218 	EXP 	Sound sound_end_recording set volume 1.000
16.4220 	EXP 	window1: mouseVisible = False
16.5093 	WARNING 	t of last frame was 3211.62ms (=1/0)
16.5093 	EXP 	text_instruct: height = 0.1
16.5093 	EXP 	text_instruct: height = 0.1
16.5093 	EXP 	text_instruct: text = 'First, processes of the brain will be examined under relaxation conditions. It is therefore very important in this part of the experiment that you relax as much as possible. During the recording of the resting EEG, you will be instructed to open or close your eyes. If you are instructed to open your eyes or to keep them open, please direct your relaxed gaze at the monitor. If you are instructed to close your eyes or to keep them closed, follow this instruction in a relaxed manner. To begin, press the space bar.'
16.5093 	EXP 	text_instruct: autoDraw = True
39.0166 	DATA 	Keypress: space
39.7036 	DATA 	Keypress: space
40.1740 	DATA 	Keypress: space
40.4797 	DATA 	Keypress: space
40.7702 	DATA 	Keypress: space
41.0166 	DATA 	Keypress: space
41.2757 	DATA 	Keypress: space
41.4783 	DATA 	Keypress: space
42.0118 	DATA 	Keypress: space
42.1079 	DATA 	Keypress: space
42.2596 	DATA 	Keypress: space
42.4225 	DATA 	Keypress: space
42.6370 	DATA 	Keypress: space
42.8330 	DATA 	Keypress: space
43.0460 	DATA 	Keypress: space
43.2431 	DATA 	Keypress: space
43.4531 	DATA 	Keypress: space
43.5646 	DATA 	Keypress: space
43.7808 	DATA 	Keypress: space
43.9668 	DATA 	Keypress: space
44.1827 	DATA 	Keypress: space
44.3655 	DATA 	Keypress: space
